,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
07/30/2015 22:48:49,15.625,15.625,15.625,21.875,17.1875,51,52,57,53,57,4090.527,4090.527,4090.527,4090.527,48.56424,29.1009617,2.30970716,2.68523121,99.76895
07/30/2015 22:48:50,15.625,43.75,26.5625,35.9375,30.46875,49,51,56,51,56,4090.52686,4090.52686,4090.52686,4090.52686,56.26055,40.48798,1.87269676,2.77637744,99.76895
07/30/2015 22:48:51,12.5,26.5625,35.9375,35.9375,27.734375,49,50,49,58,58,4090.53076,4090.53076,4090.53076,4090.53076,55.3018265,39.3423,1.90822494,2.77766252,99.76904
07/30/2015 22:48:52,25,23.4375,29.6875,39.0625,29.296875,50,53,49,58,58,4090.52759,4090.52759,4090.52759,4090.52759,55.4420662,39.57028,1.90591466,2.878216,99.76897
07/30/2015 22:48:53,35.9375,29.6875,54.6875,48.4375,42.1875,50,51,56,53,56,4090.5293,4090.5293,4090.5293,4090.5293,61.39979,46.21336,1.81878579,3.13050818,99.7690048
07/30/2015 22:48:54,14.0625,12.5,18.75,26.5625,17.96875,55,49,49,49,55,4090.528,4090.528,4090.528,4090.528,48.9333458,29.7369576,2.329445,2.78951526,99.7689743
07/30/2015 22:48:55,1.5625,0,0,0,0.390625,47,48,48,50,50,4090.529,4090.529,4090.529,4090.529,40.7195,17.462307,2.80970931,2.51403117,99.7690048
07/30/2015 22:48:56,0,1.5625,0,0,0.390625,47,48,46,47,49,4090.52734,4090.52734,4090.52734,4090.52734,39.75022,16.30314,2.81761861,2.49653053,99.76896
07/30/2015 22:48:57,0,0,0,0,0,50,47,48,48,50,4090.528,4090.528,4090.528,4090.528,39.86016,16.483017,2.82356477,2.50812769,99.7689743
07/30/2015 22:48:58,1.5625,0,1.5625,0,0.78125,49,48,48,51,51,4090.528,4090.528,4090.528,4090.528,40.0752335,16.7303734,2.800343,2.50637269,99.7689743
07/30/2015 22:48:59,17.1875,6.25,10.9375,6.25,10.15625,47,49,47,48,50,4090.52832,4090.52832,4090.52832,4090.52832,45.3718224,24.3876286,2.501602,2.70225954,99.76898
07/30/2015 22:49:00,37.5,32.8125,32.8125,43.75,36.71875,59,51,49,51,59,4090.52856,4090.52856,4090.52856,4090.52856,60.81282,45.4985,1.81256127,2.89750481,99.76899
07/30/2015 22:49:01,40.625,10.9375,4.6875,53.125,27.34375,58,50,49,52,58,4090.52686,4090.52686,4090.52686,4090.52686,58.8822556,43.7219,1.81439745,2.65717554,99.76894
07/30/2015 22:49:02,39.0625,12.5,4.6875,54.6875,27.734375,50,58,50,55,59,4090.53027,4090.53027,4090.53027,4090.53027,58.256813,42.98631,1.84176767,2.64917636,99.76903
07/30/2015 22:49:03,46.875,7.8125,4.6875,54.6875,28.515625,59,51,49,52,59,4090.52759,4090.52759,4090.52759,4090.52759,57.95255,42.6603851,1.84799492,2.6254096,99.76897
07/30/2015 22:49:04,43.75,4.6875,3.125,51.5625,25.78125,54,52,50,58,58,4090.528,4090.528,4090.528,4090.528,57.73057,42.42013,1.84616983,2.59898877,99.76898
07/30/2015 22:49:05,35.9375,9.375,10.9375,53.125,27.34375,50,50,49,60,60,4090.52856,4090.52856,4090.52856,4090.52856,58.15961,42.9092331,1.83997929,2.618142,99.76899
07/30/2015 22:49:06,42.1875,10.9375,4.6875,51.5625,27.34375,54,51,50,58,58,4090.528,4090.528,4090.528,4090.528,58.1886673,42.91568,1.84578216,2.637016,99.7689743
07/30/2015 22:49:07,32.8125,10.9375,3.125,57.8125,26.171875,59,51,50,60,59,4090.52881,4090.52881,4090.52881,4090.52881,58.2731667,42.99377,1.85456884,2.6545105,99.769
07/30/2015 22:49:08,14.0625,3.125,3.125,17.1875,9.375,47,49,49,50,50,4090.52783,4090.52783,4090.52783,4090.52783,45.605072,24.0552864,2.634018,2.63725471,99.76897
07/30/2015 22:49:09,1.5625,0,0,9.375,2.734375,46,48,47,49,50,4090.52881,4090.52881,4090.52881,4090.52881,41.91038,18.7091846,2.80204678,2.52370262,99.769
07/30/2015 22:49:10,0,1.5625,0,3.125,1.171875,49,49,46,49,49,4090.52637,4090.52637,4090.52637,4090.52637,41.440815,17.9413128,2.83858538,2.54746413,99.7689362
07/30/2015 23:10:38,26.5625,14.0625,17.1875,60.9375,29.6875,52,50,49,60,60,4090.528,4090.528,4090.528,4090.528,59.15939,43.94163,1.82805121,2.75683618,99.7689743
07/30/2015 23:10:39,14.0625,4.6875,1.5625,25,11.328125,48,49,47,49,50,4090.53,4090.53,4090.53,4090.53,46.66573,26.0667973,2.52349019,2.5640204,99.76903
07/30/2015 23:10:40,29.6875,18.75,14.0625,50,28.125,49,51,53,57,57,4090.52856,4090.52856,4090.52856,4090.52856,58.4145546,43.12093,1.83973575,2.7033112,99.76899
07/30/2015 23:10:41,17.1875,26.5625,21.875,48.4375,28.515625,53,51,53,53,53,4090.52856,4090.52856,4090.52856,4090.52856,58.0734634,42.850296,1.83751965,2.65268469,99.76899
07/30/2015 23:10:42,10.9375,4.6875,12.5,78.125,26.5625,50,51,50,61,61,4090.52637,4090.52637,4090.52637,4090.52637,58.2202568,43.065155,1.83588886,2.65872526,99.7689362
07/30/2015 23:10:43,17.1875,1.5625,23.4375,57.8125,25,50,51,50,61,61,4090.52832,4090.52832,4090.52832,4090.52832,57.8491364,42.743618,1.830606,2.62868285,99.76899
07/30/2015 23:10:44,25,9.375,18.75,57.8125,27.734375,53,52,54,52,54,4090.53,4090.53,4090.53,4090.53,58.5874672,43.5043831,1.81477678,2.676482,99.76903
07/30/2015 23:10:45,15.625,6.25,23.4375,65.625,27.734375,49,52,50,61,61,4090.52734,4090.52734,4090.52734,4090.52734,57.7169762,42.6194878,1.82100391,2.62172079,99.76896
07/30/2015 23:10:46,29.6875,7.8125,18.75,57.8125,28.515625,50,52,50,59,59,4090.52734,4090.52734,4090.52734,4090.52734,58.43233,43.3604469,1.81693411,2.665837,99.76896
07/30/2015 23:10:47,17.1875,3.125,25,62.5,26.953125,49,50,49,60,59,4090.529,4090.529,4090.529,4090.529,57.7081032,42.5968857,1.82536948,2.621062,99.769
