,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed"
09/25/2015 22:00:13,0.7692308,5.38461542,1.53846157,6.923077,3.65384626,45,46,47,45,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 22:00:19,0,0,10.7692308,3.84615374,3.65384626,47,46,49,46,1197.02161,1197.02161,1197.02161,1197.02161,133.0024
09/25/2015 22:00:24,7.69230747,5.38461542,10.7692308,7.69230747,7.88461542,46,47,48,45,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:00:29,0,3.07692313,3.84615374,7.69230747,3.65384626,45,46,48,45,1197.02161,1197.02161,1197.02161,1197.02161,133.0024
09/25/2015 22:00:34,0,0,11.5384617,0.7692308,3.07692313,48,45,49,45,1197.02148,1197.02148,1197.02148,1197.02148,133.0024
09/25/2015 22:00:39,3.84615374,5.38461542,13.0769234,11.5384617,8.461538,46,47,49,46,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 22:00:44,0,1.53846157,8.461538,6.15384626,4.03846169,47,46,48,46,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:00:49,1.53846157,0.75757575,7.69230747,5.38461542,3.84324,46,46,48,46,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:00:54,6.15384626,3.84615374,17.6923084,7.69230747,8.846154,46,46,49,46,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 22:00:59,0,0,6.15384626,7.69230747,3.46153855,46,44,48,47,1197.02124,1197.02124,1197.02124,1197.02124,133.002365
09/25/2015 22:01:04,0.7692308,3.07692313,5.38461542,3.84615374,3.26923084,47,46,49,45,1197.021,1197.021,1197.021,1197.021,133.002319
09/25/2015 22:01:09,6.15384626,4.61538458,9.230769,11.5384617,7.88461542,46,46,48,46,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 22:01:14,2.30769229,2.30769229,13.0769234,6.15384626,5.96153831,50,50,51,49,2660.04834,2926.053,2926.053,2926.053,133.002411
09/25/2015 22:01:19,2.30769229,3.07692313,14.6153851,3.07692313,5.769231,47,46,49,47,1197.02112,1197.02112,1197.02112,1197.02112,133.002335
09/25/2015 22:01:24,0.7692308,3.07692313,2.30769229,3.79120874,2.48626375,46,46,46,46,1197.02051,1197.02051,1197.02051,1197.02051,133.002274
09/25/2015 22:01:30,3.07692313,5.38461542,7.69230747,5.38461542,5.38461542,51,53,53,51,2926.05273,2926.05273,1197.02161,1197.02161,133.0024
09/25/2015 22:01:35,0,0,0,0.7692308,0.1923077,45,46,47,44,1197.02161,1197.02161,1197.02161,1197.02161,133.0024
09/25/2015 22:01:40,0,0,0,0,0,46,46,47,46,1197.02136,1197.02136,1197.02136,1197.02136,133.002365
09/25/2015 22:01:45,3.07692313,10.7692308,3.84615374,2.30769229,5,47,46,49,46,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 22:01:50,0,0,0,0,0,46,44,48,45,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 22:01:55,0,0,0,0,0,46,44,47,45,1197.02136,1197.02136,1197.02136,1197.02136,133.002365
09/25/2015 22:02:00,7.69230747,5.38461542,5.38461542,5.38461542,5.96153831,47,46,47,45,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 22:02:05,0,0,0,0,0,46,45,46,46,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 22:02:10,0,0,0,0,0,45,44,47,46,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:02:15,6.15384626,4.61538458,7.69230747,3.84615374,5.576923,45,45,47,45,1197.02039,1197.02039,1197.02039,1197.02039,133.002258
09/25/2015 22:02:20,0,0,0,0,0,45,44,47,46,1197.02124,1197.02124,1197.02124,1197.02124,133.00235
09/25/2015 22:02:25,0,0,0,0,0,45,45,47,46,1197.02185,1197.02185,1197.02185,1197.02185,133.002426
09/25/2015 22:02:30,3.84615374,6.15384626,6.923077,4.61538458,5.38461542,46,44,47,44,1197.02039,1197.02039,1197.02039,1197.02039,133.002274
09/25/2015 22:02:35,0.7692308,0,0,0,0.1923077,45,45,46,46,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:02:41,0,0,0,0,0,45,44,47,45,1197.02173,1197.02173,1197.02173,1197.02173,133.002411
09/25/2015 22:02:46,6.923077,6.923077,3.84615374,3.07692313,5.19230747,47,45,46,46,1197.02051,1197.02051,1197.02051,1197.02051,133.002274
09/25/2015 22:02:51,2.30769229,3.07692313,0.7692308,0.7692308,1.73076928,48,47,48,46,2926.05127,2926.05127,2926.05127,2926.05127,133.002335
09/25/2015 22:02:56,0,0,1.53846157,0.7692308,0.5769231,46,43,46,44,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 22:03:01,1.53846157,4.61538458,1.53846157,15.3846149,5.769231,46,46,47,45,1197.02039,1197.02039,1197.02039,1197.02039,133.002258
09/25/2015 22:03:06,2.30769229,4.61538458,4.61538458,4.61538458,4.03846169,48,51,51,50,2926.05151,2926.05151,2926.05151,2926.05151,133.00235
09/25/2015 22:03:11,6.15384626,6.25,9.230769,7.69230747,7.331731,47,45,47,45,1197.02136,1330.02368,1330.02368,1330.02368,133.002365
09/25/2015 22:03:16,0.7692308,0,6.15384626,6.15384626,3.26923084,46,44,47,45,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:03:21,3.07692313,10.7692308,7.69230747,3.84615374,6.34615374,47,46,48,45,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 22:03:26,0.7692308,0,0,0,0.1923077,46,44,46,45,1197.02136,1197.02136,1197.02136,1197.02136,133.002365
09/25/2015 22:03:31,0,0.7692308,0,0,0.1923077,45,46,46,44,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 22:03:36,5.38461542,6.923077,6.15384626,4.61538458,5.769231,46,44,47,45,1197.02148,1197.02148,1197.02148,1197.02148,133.00238
09/25/2015 22:03:41,0,0,0,0,0,47,45,47,45,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 22:03:46,0,0,0,0,0,45,46,46,45,1197.02148,1197.02148,1197.02148,1197.02148,133.00238
09/25/2015 22:03:52,4.51465225,7.69230747,6.15384626,5.38461542,5.936355,46,46,47,45,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 22:03:57,0,0,0,0,0,45,43,47,45,1197.02124,1197.02124,1197.02124,1197.02124,133.00235
09/25/2015 22:04:02,0,0,0,0,0,45,43,46,45,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 22:04:07,6.923077,6.923077,6.15384626,3.07692313,5.769231,47,45,47,44,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 22:04:12,0,0,0.7692308,0,0.1923077,44,44,46,44,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:04:17,0,0,0,0,0,45,44,46,45,1197.02136,1197.02136,1197.02136,1197.02136,133.002365
09/25/2015 22:04:22,8.461538,4.61538458,3.07692313,6.15384626,5.576923,45,44,47,44,1197.021,1197.021,1197.021,1197.021,133.002335
